13:13:47.140862 [queue=1] packet #21, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delayed for 74ms
13:13:47.140862 [queue=0] packet #21, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delivered
13:13:47.141860 [queue=0] packet #22, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is dropped
13:13:47.142857 [queue=1] packet #22, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delayed for 33ms
13:13:47.142857 [queue=0] packet #22, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delivered
13:13:47.143855 [queue=0] packet #23, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is dropped
13:13:47.143855 [queue=1] packet #23, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delayed for 64ms
13:13:47.144852 [queue=0] packet #23, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delivered
13:13:47.144852 [queue=1] packet #24, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delayed for 84ms
13:13:47.145849 [queue=0] packet #24, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delivered
13:13:47.145849 [queue=0] packet #25, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=7 is dropped
13:13:47.147846 [queue=1] packet #25, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=7 is delayed for 93ms
13:13:47.154825 [queue=0] packet #25, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=7 is delivered
13:13:47.155827 [queue=0] packet #26, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=0 is dropped
13:13:47.155827 [queue=1] packet #26, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=0 is delayed for 23ms
13:13:47.156819 [queue=0] packet #26, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=0 is delivered
13:13:47.157821 [queue=1] packet #27, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=0 is delayed for 94ms
13:13:47.158815 [queue=0] packet #27, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=0 is delivered
13:13:47.178764 [queue=0] packet #28, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=0 is dropped
13:13:47.182750 [queue=1] packet #28, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=0 is delayed for 17ms
13:13:47.182750 [queue=0] packet #28, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=0 is delivered
13:13:47.183750 [queue=0] packet #28, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=0 is dropped
13:13:47.185743 [queue=1] packet #28, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=0 is delayed for 77ms
13:13:47.187743 [queue=0] packet #28, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=0 is delivered
13:13:47.240915 [queue=0] packet #28, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=0 is dropped
13:13:47.241913 [queue=1] packet #28, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=0 is delayed for 88ms
13:13:47.242909 [queue=0] packet #28, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=0 is delivered
13:13:47.256872 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=1 is delayed for 90ms
13:13:47.257871 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=1 is delivered
13:13:47.319276 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=1 is delayed for 21ms
13:13:47.319276 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=1 is delivered
13:13:47.322289 [queue=1] packet #0, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=1 is delayed for 34ms
13:13:47.323287 [queue=0] packet #0, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=1 is delivered
13:13:47.381963 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=134 is dropped
13:13:47.381963 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=134 is delayed for 57ms
13:13:47.382963 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=134 is delivered
13:13:47.383961 [queue=1] packet #0, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=134 is delayed for 79ms
13:13:47.384957 [queue=0] packet #0, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=134 is delivered
13:13:47.385954 [queue=0] packet #0, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=134 is dropped
13:13:47.386952 [queue=1] packet #0, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=134 is delayed for 14ms
13:13:47.387949 [queue=0] packet #0, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=134 is delivered
13:22:34.333369 [queue=1] packet #0, 127.0.0.1:8181 -> 127.0.0.1:8080, sz=0 is delayed for 77ms
13:22:34.333369 [queue=0] packet #0, 127.0.0.1:8181 -> 127.0.0.1:8080, sz=0 is delivered
13:22:34.338356 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:8181, sz=0 is dropped
13:22:34.339353 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:8181, sz=0 is delayed for 35ms
13:22:34.340353 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:8181, sz=0 is delivered
13:22:34.364676 [queue=1] packet #0, 127.0.0.1:3535 -> 127.0.0.1:8080, sz=0 is delayed for 92ms
13:22:34.364676 [queue=0] packet #0, 127.0.0.1:3535 -> 127.0.0.1:8080, sz=0 is delivered
13:22:34.570646 [queue=0] packet #0, 127.0.0.1:8181 -> 127.0.0.1:8080, sz=1 is dropped
13:22:34.570646 [queue=1] packet #0, 127.0.0.1:8181 -> 127.0.0.1:8080, sz=1 is delayed for 42ms
13:22:34.571643 [queue=0] packet #0, 127.0.0.1:8181 -> 127.0.0.1:8080, sz=1 is delivered
13:22:34.663781 [queue=1] packet #0, 127.0.0.1:8181 -> 127.0.0.1:8080, sz=20 is delayed for 98ms
